Label,text
0, Send forth all legions. Do not stop the attack until the city is taken. Slay them all.
0, What of the Wizard?
0, I shall break him.
0, Where are Theoden's riders?
0, Will Rohan's army come?
0, Mithrandir?
0, Courage is the best defence that you have now.
0," Here do I swear fealty and service to Gondor, in peace or war, in living or dying, from this hour henceforth, until my lord release me, or death take me."
0," And I shall not forget it, nor fail to reward that which is given ..."
0, What would you have me do?
0, I will not yield the River and Pelennor unfought - Osgiliath must be retaken.
1," My Lord, Osgiliath is overrun."
1, Much must be risked in war. Is there a Captain here who still has the courage to do his Lord's will?
1," You wish now that our places had been exchanged, that I had died and Boromir had lived?"
0," Yes, I wish that."
0," Since you are robbed of Boromir, I will do what I can in his stead."
1, That will depend on the manner of your return.
1," What are you up to? Sneaking off, are we?"
1," Sneaking? Sneaking? Fat Hobbit is always so polite. Smeagol shows them secret ways that nobody else could find and they say Sneak!, Sneak!. Very nice friends, oh yes, my Precious, very nice."
0," Alright, alright - you just startled me is all. What were you doing?"
1, Sneaking!
1," Fine, have it your own way."
0, It's dark still.
0, It's always dark here -
0," Don Ciccio, I've got an idea...You remember that old abandoned movie house where they're supposed to build those low-rent houses?"
0, So what's that got to do with it?
0," The projector's all rusty, but I could fix it in two or three days. Give the place a good cleaning, put in some seats and bring in a projectionist and we'll show Catene in two houses."
1," What the fuck you talking about? You getting into the act too, Toto? Titanus has trouble giving me even one copy and I have to say thanks! If I ask for two, the least they'll do is cut off my head and play ball with it!"
1, Who says we need two copies?
1, That's enough now! You've seen it ten times! I need the seats! I wish you'd all get the galloping runs!
1," Easy! Easy! Through the emergency exits, quick! Stop the jabbering!!"
0, Now get running and bring me the first reel. Meanwhile I'll start showing the news!
0," OK, Toto!"
0, Quick! Give it to me! Here's the first part. Get moving!
0," Here you are! Quick, quick!! People are waiting!"
1," Hey, when's it starting!! We've got ploughing to do in the morning!! Toto, get a move on!! Heeey!!"
0," What are we going to do, Toto? The whole place here is up in arms. They've been waiting more than a half hour."
1, What can I do?
0, Where's the fucking bastard got to?
